"","to","from","fraction2010","fraction2011","fraction2012","fraction2013","fraction2014","fraction2015","fraction2016","fraction2017","fraction2018","fraction2019","fraction_mean"
"33","Denmark","Argentina",0.00884774669455296,0.00686626623626886,0.00239821755004276,0.00525100483996691,0,0.0032284856621672,0.00559084826624222,0.00478167103672797,0.00122339795917078,0.00627262544182605,0.00444602636869657
"34","Djibouti","Argentina",0.0047210056271484,0.0889028314731024,0.359392235095242,0.000406422559202924,0.0015085669344147,0.000703668499810968,0.003720568558799,0.00299022302849133,0.0130873065811315,0.0227069204476765,0.049813974880502
"35","Dominican Republic","Argentina",0.0161457824962966,0.0956822368946153,0.10480552831106,0.206889491064092,0.0514072187276435,0.0692512094923858,0.19651384484141,0.0517208065769197,0.0396524894411957,0.073385703600712,0.090545431144633
"36","Ecuador","Argentina",0.316188672253126,0.201996083031655,0.258917112680551,0.107988062142789,0.0478677198445865,0.028650343377321,0.245359675755574,0.259861240207505,0.155371295322474,0.0756969648859612,0.169789716950154
"37","Egypt","Argentina",0.110777233135733,0.132870452004621,0.0898507815258498,0.132520168741528,0.0940115460048844,0.107247010872521,0.187367114498967,0.155429158400614,0.108226115757862,0.122955736015339,0.124125531695792
"38","El Salvador","Argentina",0.000376901707257093,0.000371908687449908,0.0606138609148857,0.070427774585167,0.000676818343293016,0.000844142307508319,0.000846755505730833,0.00111982024812409,0.0011382838195676,0.00115678998056404,0.0137573056099548
"39","Ethiopia","Argentina",0.00202663819436598,0.0116131852017847,0.0020658689736764,0.0010741587112233,0.00975481983221074,0.00262890865383566,0.00272809869931029,0.00553178016152003,0.00537836706341688,0.00304791512187216,0.00458497406132161
"40","France","Argentina",0.00325492538157989,0.00308207721525605,0.00158670708311148,0.0013600294137353,0.00229515760385278,0.000914469373204665,0.00194768898171133,0.00256669232873685,0.0019661708964338,0.00290864581344884,0.0021882564091071
"41","Gabon","Argentina",0.00147057953777616,0.00346436501674581,0.00145745730092991,0.00420779367501166,0.00230470854694401,0.00324614324942557,0.0023686716930512,0.160603614142196,0.00499255597500231,0.00390991069614682,0.0188025799833229
"42","Georgia","Argentina",0.00283102424026252,0.00100875893118258,0.0122536024631504,0.0146245535664231,0.000519416277322923,0.000479991623753289,0.000919571911292556,0.000220903037956486,0,0.0004886978541876,0.00333465199055315
"43","Germany","Argentina",0.00348123872665153,0.00134002231000053,0.00111260756365868,0.00275326876922632,0.0017135890300385,0.00150833424824682,0.00152281858394234,0.00124297474502577,0.00164294555748396,0.00144521379046199,0.00177630133247364
"44","Greece","Argentina",0.0125772760743002,0.00153939587826668,0.00261935895758027,0.00172319596712307,0.00144621050288872,0.00950010942854341,0.000980063744637156,0.000963140113362727,0.00107262657051527,0.000664856613041247,0.00330862338502588
"45","Guatemala","Argentina",0.00068832962385553,0.000260885052218434,0.077051057110921,0.154297967942551,0.000421164138156103,0.000435104501515804,0.00117282265922556,0.00117741540221361,0.00045164236631042,0.000723146523571485,0.0236679535320539
"46","Guinea","Argentina",0.0118134478070553,0.0234603348451611,0.0307545231579618,0.0235854906596531,0.0173965959903923,0.00205506369372294,0.00208538848130521,0.00349109304145721,0.00485531346023293,0.00410244130460799,0.012359969244155
"47","Honduras","Argentina",0.000561208107449648,0.000646789243859235,0.037375432952387,0.0850943219805456,0.0342786774415717,0.000432579461694443,0.000907808491049809,0.000980485036521404,0.00109842743638729,0.00133661218251718,0.0162712342333983
"48","Iceland","Argentina",0.00528568535768203,0,0,0.00228302879456015,0.00439079526122235,0.002567710714955,0.00444562594009863,0.00284798754603457,0.00200585237735509,0,0.00238266859919078
"49","India","Argentina",0.0607877218789321,0.783725011120494,0.242165090247291,0.372245913917402,0.278311470861251,0.0393717693107595,0.00400637170421245,0.00410128729660427,0.0656547218108902,0.0160219204133525,0.186639127856119
"50","Indonesia","Argentina",0.105468618225561,0.153910145197757,0.0255903740583982,0.0444802661754819,0.0751150879422776,0.134955085199419,0.12887570449395,0.0300694618845143,0.0875563587247986,0.2131812237629,0.0999202325665057
"51","Iran (Islamic Republic of)","Argentina",0.510067729937759,0.191886852833221,0.0190634147107787,0.00462410577512952,0.00809126640518855,0.0418290072031133,0.0150771287174398,0.00414109151839125,0.00248062904399959,0.0010888962364961,0.0798350122381516
"52","Iraq","Argentina",0.00102711165785364,4.13826221718967e-05,6.45126322790058e-05,0,0.000332001682582056,0.0249321811631761,0.174513738686625,0.215818465159203,0.0889343888022049,0.161333012754443,0.0666996795160539
"53","Ireland","Argentina",0.00756215330212794,0.00971847767427472,0.00782851080365978,0.00524626707471971,0.0087094540773202,0.0108094542122859,0.0139218670939559,0.00737733319507949,0.00639456289740131,0.00545921588494168,0.00830272962157666
"54","Israel","Argentina",0.0441348228426574,0.00419903126392223,0.00105187411357685,0.0247794911467451,0.000239126658168503,0.00107135578257358,0.00800955087068098,0.0194539125121581,0.0004595762570058,0.000178883568776656,0.0103577625016265
"55","Italy","Argentina",0.0045566899931008,0.00728578375409762,0.00261396113529842,0.00167371426425497,0.00269069640193439,0.00519062377664379,0.0121848772379298,0.000375502460422201,0.000316255471858094,0.00258406418312218,0.00394721686786623
"56","Japan","Argentina",0.0338409296021867,0.019706114294198,0.0284091117418492,0.0809635074591702,0.00365960641744709,0.00537094501363101,0.00366513671408232,0.00277198258282448,0.00219560641555137,0.00989091234153948,0.019047385258248
"57","Jordan","Argentina",0.0831391481027477,0.127475413304246,0.22518760225808,0.233470171143158,0.22775325559635,0.296781549507901,0.320242500713107,0.282558049956663,0.257280688574093,0.172754932974382,0.222664331213073
"58","Kenya","Argentina",0.0191090196208713,0.104660258923765,0.321599572967142,0.00374050965049941,0.000108366953952942,0.0191690809336266,0.0518974762647852,0.114613113929008,0.177937827545318,0.203652696514773,0.101648792330374
"59","Kuwait","Argentina",0.248138723014685,0.118026120799742,0.126558146003722,0.116028365799236,0.216397113019695,0.144939709730967,0.184962597855361,0.0808572764563778,0.297136269992846,0.206800939549965,0.17398452622226
"60","Latvia","Argentina",0.178445038563116,0,0,0,0,0.000358618993771816,0,0,0,0,0.0178803657556888
"61","Lebanon","Argentina",0.0434795926721847,0.0317106974418467,0.00157400953913342,0.00181345794299326,0.0443147955634778,0.0353433966789744,0.0106726348270696,0.025075454983808,0.0323096543593217,0.0292871274394975,0.0255580821448307
"62","Liberia","Argentina",0.0502154629021709,0.031094394686993,0.0392676186380477,0.0335662192288272,0.0512315246899002,0.0417109219461374,0.0203936425023527,0.0176518396292051,0.0268689999812974,0.024392597450005,0.0336393221654937
"63","Libya","Argentina",0.0186524341071876,0.0484140511691385,0.0348279689820456,0.0152832803156341,0.0530247286509102,0.000460683376619802,0.000600718351454461,0.000742095305471414,0.000661767384967338,0.000760196049346615,0.0173427923692776
"64","Lithuania","Argentina",0.0624044161360619,0.0522255346297736,0.00093334899042002,0.000931474778451674,0.000282265722516592,0.000443126671414953,0.00257683242761102,0.00104710864702283,0,0.000235926372870987,0.0121080034376144
"65","Malaysia","Argentina",0.311510004345989,0.284151503648687,0.271323031163309,0.223452069386957,0.262335406229347,0.272329759192961,0.34463220860533,0.335370569753217,0.395387903537208,0.382416605598761,0.308290906146177
"66","Mauritania","Argentina",0.00046774381501202,0.142012141874712,0.400267829968391,0.0109693239647754,0,0.016288984469847,0.06684059639331,0.0975990682213907,0.240121833737525,0.00646990804377058,0.0981037430488734
"67","Mauritius","Argentina",0.317594162581892,0.478727280111915,0.275020927536016,0.271535018607798,0.252642532237021,0.290948449758959,0.431847835280228,0.399789567502804,0.435110295772505,0.392987029693229,0.354620309908237
"68","Mexico","Argentina",0.000368776756398796,0.000143331205993716,0.000267733288130763,0.00951545780535653,0.000449455892164932,0.00096397915269904,0.00496986063940057,0.00445567042911196,0.000325917717596606,0.000615233003209341,0.00220754158900623
"69","Montenegro","Argentina",0.146286582476576,0,0,0.00298700204744905,0.00464005771777091,0.00268903001666589,0.00211635046134874,0.00597159135414855,0,0,0.0164690614073959
"70","Morocco","Argentina",0.155089046121898,0.198287459129707,0.281651531253748,0.139078329182213,0.15200062594143,0.174541592944056,0.140654135229801,0.240859530368757,0.156657717641672,0.243728404714294,0.188254837252758
"71","Nepal","Argentina",0.00589545395385825,0.022476054298449,0,0.00741111280769725,0.0148738664383005,0.0334382056284574,0.00996360054904565,0.00762881057491481,0.00552651910288942,0.00563904234279346,0.0112852665696406
"72","Netherlands","Argentina",0.0118845368964299,0.00989213403479631,0.0107833857353654,0.00830775886281276,0.00618057281679671,0.00970021295773771,0.00873569379063224,0.00562675891565784,0.00451999825414175,0.0038358165629236,0.00794668688272943
"73","Nicaragua","Argentina",0.000248412055066403,2.20061684791372e-05,0.0637949771877455,0.0773836797172213,0.000356353123453025,0.000397816023521231,0.0177864163933282,0.00115791494665996,0.000492426920000675,0.000929892355394375,0.016256989489087
"74","Nigeria","Argentina",0.00802944298664307,0.0146603299105593,0.0657879978779814,0.0238090684879045,0.0219717547132949,0.0264137440563808,0.0283286431671713,0.0743412948618434,0.0480796206059156,0.0660292532894174,0.0377451149957112
"75","North Macedonia","Argentina",0.0010795354582617,0,0,0.00185072334315844,0.00311894660551367,0.00322620558832931,0.00431823425151672,0.00358142117996583,0.00371011984632156,0.00487234714145757,0.00257575334145248
"76","Norway","Argentina",0.00192289671475649,0.000551675311768411,0.000448558327352118,0.000324239022019782,0,0,0.000370879087632807,0.000537406170605413,0.000211873686502396,0.000370956695685543,0.000473848501632296
"77","Oman","Argentina",0.0714862150277198,0.187357031404832,0.141538595402407,0.116575652143162,0.116518990360258,0.0610634266593605,0.128686763086798,0.321760710470573,0.19117285820532,0.261904301738563,0.159806454449899
"78","Panama","Argentina",0.0154916344686962,0.138805678608596,0.428670241680816,0.0594221805586102,0.0174731372102586,0.00093184488798734,0.000951930547622318,0.00132897047012328,0.000712430546943334,0.0130924474802973,0.067688049645995
"79","Paraguay","Argentina",0.334164315010869,0.462714832995839,0.57582184409557,0.134277918031406,0.218532345004008,0.576841561381952,0.307955470927166,0.422791737053371,0.185390308698367,0.182641709396254,0.34011320425948
"80","Peru","Argentina",0.310554193759235,0.462655326839496,0.570013517778005,0.374453304314474,0.128198880748711,0.0910730025057798,0.0377028586593934,0.0664938559488877,0.112663106064944,0.500163742567677,0.26539717891866
"81","Philippines","Argentina",0.0283736521265587,0.00328086226735298,0.00180904700166561,0.00160818124681348,0.0413990385607797,0.0345667863669839,0.0656944320934299,0.0207756044467064,0.0171751337787564,0.0206039285724222,0.0235286666461469
"82","Poland","Argentina",0.045854574389668,0.0274001713553725,0.03543676710425,0.0426168445812015,0.072771284077949,0.0467064572426864,0.0422045765340145,0.0241721032533489,0.0417605192224664,0.0242832014096416,0.0403206499170599
"83","Portugal","Argentina",0.000886935115701703,0.000756584721299669,0.00488168211615425,0.000816446473902199,0.00039224952444075,0.000324671149810556,0.000972908315315963,0.000939913509325761,0.000525607112995677,0.000378196296147487,0.0010875194335094
"84","Republic of Korea","Argentina",0.0216569494176965,0.00122660489181906,0.108012035559798,0.169613583770475,0.0388752452041245,0.0322500558808517,0.145194636064202,0.132344100048022,0.0403851585277228,0.223492075226311,0.0913050444591021
"85","Romania","Argentina",0.000889311528180458,0.000890449990416953,0.000730819278095341,0.000789089666163633,0.00090471205946371,0.000254108998769213,0.000118698966059344,0.000414855256844287,0.000258477865917344,0.000239275300995391,0.000548979891090567
"86","Russian Federation","Argentina",0.00135907455870998,0.00142113108887448,0.00223462872144284,0.00065208630178128,0.000459586663063726,0.000547071048160247,0.00998411775108896,0.0170127506589019,2.64642052241227e-05,0.000233242544938894,0.00339301535421864
"87","Saudi Arabia","Argentina",0.11524278659267,0.17374734407427,0.223069751448794,0.148447230766508,0.147344530370961,0.136489572223836,0.132331122436641,0.20317217895558,0.210349555948973,0.304130243668803,0.179432431648703
"88","Senegal","Argentina",0.11891435146258,0.188162756317323,0.308361308440522,0.0992808994920631,0.167737882544881,0.188625347155391,0.15430110778541,0.322277093324999,0.395422154509252,0.34427214984494,0.228735505087736
"89","Seychelles","Argentina",0.0528789166324285,0.3142736228328,0,0,0,0,0,0.0420249831839062,0,0,0.0409177522649134
"90","Sierra Leone","Argentina",0.0341912835540868,0.0083486485764305,0.0654634522284818,1,1,0.0684347469700575,0.0926209236725283,0.00562088766282191,0.770823300733937,0.537185317014808,0.358268856041315
"91","Singapore","Argentina",0.000812854142811009,0.0039079436438675,0.000699599033174315,0.00181088151169464,0.00163377361108511,0.00650164226168801,0.0139055978227615,0.0432071518475657,0.021625759726938,0.00757657514939024,0.0101681778750976
"92","South Africa","Argentina",0.0791889343453678,0.388118446157958,0.410195337672438,0.0360007378634277,0.000188659327283387,0.154922084043994,0.34135331857636,0.0410917723241809,0.0525512762097136,0.196091149874733,0.169970171639546
"93","Spain","Argentina",0.00909155707520674,0.0111809807740579,0.00855669421786978,0.00893628065145419,0.00333100737230966,0.00430109547756157,0.00577879496055536,0.00342913076819796,0.00156434296559161,0.00414271502876156,0.00603125992915663
"94","Sweden","Argentina",0.0162520494030517,0.00237887778460132,0.000518690508555348,0.00189083064597185,0.000894367079788141,0.00219741856809704,0.00102695875788389,0.000657789676244516,0.0014922798346204,0.000642564697331262,0.00279518269561454
"95","Switzerland","Argentina",0.00460444139916182,0.00212533421030355,0,0.000910296926547076,0.000798474279509274,0.00011020077967056,0.0011380793132276,0.0024368924573481,7.00174766899128e-05,7.22081664114462e-05,0.00122659450088693
"96","Syrian Arab Republic","Argentina",0.0632154998505409,0.169862868831061,0.0253243385103532,0.00955106584027496,0.0142967095741492,0.0218723694050975,0.00843526339193131,0.000302920459973644,0.0231174575526593,0.00553068136351997,0.0341509174779561
"97","Thailand","Argentina",0.0600823814586694,0.0710256382443643,0.011222688452258,0.0447065676097318,0.025189031117484,0.0438870972811317,0.125688429044608,0.1037693365242,0.105845546542634,0.061911142388436,0.0653327858663517
"98","Togo","Argentina",0.0167270995630837,0.0223736853758075,0.00613753041983776,0.00890484349388806,0.00380224454226875,0.00156199844514888,0.00266449988430922,0.00320778776354442,0.00643894145315214,0.00445176272919667,0.00762703936702371
"99","Trinidad and Tobago","Argentina",0.000753503897840745,0.00116770965386273,0.0185398435387505,0.00137530310992269,0.00124713648748239,0.00109665247795291,0.00126317946432316,0.00117934107955999,0.00144136801860926,0.00197697523985782,0.00300410129681622
"100","Tunisia","Argentina",0.0307492090966068,0.123814654668807,0.108286099829664,0.107200077655475,0.0921586295443184,0.00435174078928943,0.0364347109034135,0.089015317510493,0.019332638258981,0.0366870122867542,0.0648030090543803
"101","Turkey","Argentina",0.0157833801379448,0.0586100375833803,0.0175930527622047,0.0185013845316809,0.00323396759084982,0.000598024708590984,0.0018076444566516,0.00103829393234599,0.00374060872741587,0.00531727761587592,0.0126223672046941
"102","Ukraine","Argentina",0.0116208938012167,0.00297642177699111,0,0.0293449547805865,0,0,0,0,0,0,0.00439422703587943
"103","United Arab Emirates","Argentina",0.143115942838149,0.16976359249243,0.201012357439906,0.0874428881544639,0.120262478588223,0.150232674592801,0.158479813355767,0.143247960999901,0.181820142579427,0.168894384164028,0.15242722352051
"104","United Kingdom of Great Britain and Northern Ireland","Argentina",0.0708227029353795,0.0644435865138335,0.0581684779143001,0.0251053488374048,0.0451960225925466,0.0579850095333037,0.0505222919796202,0.0362159152572577,0.0371043164428967,0.0451476144508214,0.0490711286457364
"105","United Republic of Tanzania","Argentina",0.0454341472351265,0.151025636786111,0.305786180472565,0.0270821478617061,0.000369102557980108,0.000417521100828343,0.0563268896771421,0.0748416325724522,0.000760064724315261,0.00340504078353871,0.0665448363771765
"106","United States of America","Argentina",0.0387430917901191,0.0308867317554807,0.0295135767757273,0.0915371485858157,0.0371319275987733,0.0496234492201554,0.0952048389519061,0.089452628282328,0.05331736549707,0.0837187710773197,0.0599129529534695
"107","Uruguay","Argentina",0.267124073154216,0.41661142011238,0.227954543011069,0.0858867334390933,0.0509048530936834,0.0290114545700176,0.0847956203990244,0.0625429595318276,0.45529912994949,0.0360619368769105,0.171619272413771
"108","Venezuela (Bolivarian Republic of)","Argentina",0.120307854057686,0.17061460609099,0.145014020949144,0.172544938721683,0.241233329900829,0.198419634642299,0.0417837867601593,0.0130446226126285,0.0105124488615538,0.0809147414659363,0.119438998406291
"109","Viet Nam","Argentina",0.188569064322208,0.0175513208381248,0.0460546232431904,0.0364397264943889,0.079322773384851,0.229709207640404,0.387207447886298,0.36741980983398,0.29676448513218,0.503035999978256,0.215207445875388
"110","Yemen","Argentina",0.112115417135543,0.183095080010472,0.180419503962685,0.124687683103567,0.124706627560956,0.151917812388437,0.189668325712014,0.1654099950782,0.173920669770118,0.180254271537862,0.158619538625985
"111","New Caledonia","Australia",0.948541498576863,0.906767680509679,0.899122342395471,0.918103241677867,0.855139077459551,0.88437301911628,0.905328867372321,0.986905958380773,0.86043032669357,0.502237277196775,0.866694928937915
"112","Papua New Guinea","Australia",1,1,1,1,1,1,0.963927037822566,1,0.986814815882779,0.970072105415904,0.992081395912125
"113","Republic of Korea","Australia",0.0675190124064608,0.129336995721563,0.143285409561947,0.0653462544076247,0.0731397582240326,0.0723953934354756,0.0684694558555736,0.0699964907736648,0.0647721605775997,0.0680044557841386,0.082226538674808
"114","Belgium","Austria",0.00131421840533446,0.00150043084040645,0.00127375182846218,0.00125208227716145,0.000927678158342421,0.00107606662482361,0.00117473350162056,0.000979447323657642,0.000788536992407739,0.000886652570678071,0.00111735985228946
"115","Croatia","Austria",0.00229201242518809,0.00250649134718747,0.00513951232594858,0.00440464723782689,0.00249666230913807,0.00512070327867157,0.0271583373833508,0.00900133895675679,0.00433077713851827,0.00340614596232704,0.00658566283649136
"116","Cyprus","Austria",0.00065993996712241,0,0.000439913963701352,0,0,0,0,0,0,0.00502674034645585,0.000612659427727961
"117","Czechia","Austria",0.058398404078867,0.0317197278907428,0.0230069041768317,0.0182844431498783,0.016433978887266,0.0101051362904152,0.0227846639164016,0.0303742242071931,0.0241735036895052,0.0293772688826643,0.0264658255169765
"118","Denmark","Austria",0.00157363100464941,0.00151510195712573,0.00187508122596131,0.00049453018009135,0.000272072679832037,0.000677094769723578,0.00146250133496311,0.00171419641020803,0.000445584045533209,0.000852040844857865,0.00108818344529456
"119","Egypt","Austria",5.16249497260663e-05,1.17611662350719e-05,4.02612586344802e-05,7.9455037833761e-05,0.00012143404487189,6.27335923031056e-05,7.95265030339933e-05,6.08516424703366e-05,3.32468399092963e-05,3.29814162803256e-05,5.73876451298327e-05
"120","France","Austria",0.00660735301160663,0.00580070639924526,0.00557905228643599,0.00422609503012109,0.00447754637728696,0.00292212564028099,0.00354100008642385,0.00740097803358889,0.00601510664167687,0.00739857806525328,0.00539685415719198
"121","Germany","Austria",0.0100456604945179,0.0163264370316778,0.010931045918493,0.010508477684444,0.0106693854626753,0.00903904010060599,0.0112700513451132,0.0101231337647339,0.0100899255306664,0.0139645355347346,0.0112967692867662
"122","Greece","Austria",0.00736293020963285,0.000803073971617006,0.000886060554094855,0.000991594554932898,0.00736596619068469,0.00542434881685216,0.00643650422694428,0.00408668233415743,0.00367138634583904,0.0013102579066384,0.00383388051113936
"123","Hungary","Austria",0.0560106199204239,0.0553252838824172,0.0532236594835864,0.0253769885660984,0.031972214873326,0.0173192916898384,0.0216531700777329,0.0193590618653392,0.0158784818527526,0.0183248617851367,0.0314443633996652
"124","Ireland","Austria",0.000167395024989179,0.000313000642476669,0.000425851215857021,0.000201707758069567,0.000144642969357288,0.000119263256898753,0.000142385228488889,0.000101566378462145,0.000416398466645508,6.85585745621819e-05,0.00021007695158072
"125","Italy","Austria",0.0535520901902439,0.0479887664628651,0.0628377648836961,0.0443675226709024,0.0508240812476772,0.0419554477028709,0.0412779634409831,0.0381086449050686,0.0303597387325991,0.034441229136292,0.0445713249373198
"126","Japan","Austria",5.52800300114982e-06,6.66570290080828e-06,9.92493221630038e-06,7.98957226393376e-06,7.45992445449857e-06,0,7.24002251744237e-06,0,2.70567452469269e-06,0,4.75138318788259e-06
"127","Libya","Austria",0.000701071749267348,0,0.000179353623632384,0.000399513423848487,0.000524536244454061,0.000426836322984524,0.000455512713541476,0.000571752107395679,0.000273118584035453,0,0.000353169476915941
"128","Netherlands","Austria",0.00201214601087687,0.00163606380749484,0.00161343847807562,0.00102542878098559,0.000602214049928593,0.00114841005847947,0.00111177540937247,0.00145050532605292,0.000882219508131095,0.0010607351585469,0.00125429365879444
"129","Poland","Austria",0.00552149554006964,0.0074981543085871,0.0111862092063741,0.00592769117722973,0.00765635335021392,0.00602252267572256,0.00558964378777686,0.00544838543083541,0.00556330120054804,0.00609248007189971,0.00665062367492571
"130","Portugal","Austria",0.000214710837880929,4.05559319821648e-05,0.000167987131230942,3.07940993804336e-05,0.000153166864110085,2.71653744878995e-05,0.00018222878594136,0.000107715845669134,0.000106115159297889,1.62726068828257e-05,0.000104671263686366
